phish_id,host,url,submission_time,target,online,httpstatus,phish_detail_url
12515,essamdougha.com,https://essamdougha.com/amz/login.html,2018-01-05 16:51:31,Amazon,offline,403,http://melani.admin.ch/
12514,edwardsoothes.com,http://edwardsoothes.com/amz/zamzred.html,2018-01-05 16:51:26,Amazon,online,301,http://melani.admin.ch/
12513,massim43.beget.tech,http://massim43.beget.tech/syuzo/,2018-01-05 15:33:14,Aruba,offline,404,http://melani.admin.ch/
12512,www.secure3.areospolis.gr,http://www.secure3.areospolis.gr/.++/1/2/,2018-01-05 14:05:45,Apple,online,302,http://melani.admin.ch/
12511,uspila.cf,http://uspila.cf/jpmorganchase/JPCh/JPCh/JPCh/index.php,2018-01-05 12:50:00,Chase,dnserror,0,http://melani.admin.ch/
12510,bestpreis-kfzteile.de,https://bestpreis-kfzteile.de/502-2849265-1928845-.html,2018-01-05 10:14:21,eBay,offline,404,http://melani.admin.ch/
12509,139.59.164.115,http://139.59.164.115/41/41/index.htm,2018-01-05 09:41:24,Amazon,offline,500,http://melani.admin.ch/
12508,bluewinwebmail.godaddysites.com,https://bluewinwebmail.godaddysites.com/,2018-01-05 09:13:42,Swisscom,offline,404,http://melani.admin.ch/
12507,lampuminimalis.com,http://lampuminimalis.com/1/Bluebaba.php/</td,2018-01-05 08:35:04,Swisscom,offline,302,http://melani.admin.ch/
12506,interphase-online.com,https://interphase-online.com/uc/img%202/index.php,2018-01-05 07:26:04,E-Mail Provider,offline,404,http://melani.admin.ch/
12505,ferrysdecuba.com,https://ferrysdecuba.com/870.909.809.769.657/,2018-01-05 07:03:38,Microsoft,online,200,http://melani.admin.ch/
12503,guinneko.beget.tech,http://guinneko.beget.tech/Secure.management/,2018-01-05 05:42:08,Apple,offline,404,http://melani.admin.ch/
12502,emmanuelabarbetti.org,http://emmanuelabarbetti.org/380797846cb.html,2018-01-05 05:42:00,Apple,offline,404,http://melani.admin.ch/
12501,www.inteldrones.com.uy,https://www.inteldrones.com.uy/ppl/img/,2018-01-05 05:41:54,PayPal,dnserror,0,http://melani.admin.ch/
12500,alaminkemaman.edu.my,http://alaminkemaman.edu.my/verify/,2018-01-04 19:39:52,UBS,offline,404,http://melani.admin.ch/
12499,ni1417254-1.web11.nitrado.hosting,http://ni1417254-1.web11.nitrado.hosting/videos/,2018-01-04 19:39:09,UBS,offline,404,http://melani.admin.ch/
12498,ni1417254-2.web13.nitrado.hosting,http://ni1417254-2.web13.nitrado.hosting/mo7/,2018-01-04 19:39:03,UBS,offline,404,http://melani.admin.ch/
12496,www.jabol.mtvk.pl,http://www.jabol.mtvk.pl/data-ubs-seite-server/index.php,2018-01-04 13:46:14,UBS,offline,500,http://melani.admin.ch/
12495,unibrak.com,http://unibrak.com/hannibalischen.html,2018-01-04 13:46:07,UBS,offline,404,http://melani.admin.ch/
12494,www.ayma.es,http://www.ayma.es/js/compte/,2018-01-04 12:35:11,Swiss Bankers,offline,404,http://melani.admin.ch/
12493,www.irancoffeeschool.com,http://www.irancoffeeschool.com/wp-includes/images/smilies/ubch/ubch/,2018-01-04 11:06:36,UBS,online,301,http://melani.admin.ch/
12492,lebosdev.tulieservices.info,http://lebosdev.tulieservices.info/downloader/skin/,2018-01-04 11:06:33,UBS,offline,404,http://melani.admin.ch/
12490,ricardmc.beget.tech,http://ricardmc.beget.tech/e-store-shopping.ricardo/.ch.Umfrage_ID.99003-vu/-inlogone/-/ch/-/-/cardmc/supporto/index.htm,2018-01-04 07:55:58,Ricardo,offline,404,http://melani.admin.ch/
12489,daqwah.com,http://daqwah.com/ri/,2018-01-04 07:55:41,Ricardo,offline,500,http://melani.admin.ch/
12488,camplakefire.com.au,http://camplakefire.com.au/wp-admin/includes/hop.html,2018-01-04 06:25:17,Navy Federal Credit Union,offline,302,http://melani.admin.ch/
12487,ni1340450-1.web15.nitrado.hosting,http://ni1340450-1.web15.nitrado.hosting/videos/,2018-01-03 20:29:09,UBS,offline,404,http://melani.admin.ch/
12485,keerom.ilmci.com,http://keerom.ilmci.com/fc684bf951ac1786d39b88801c9218bf/,2018-01-03 11:03:18,UBS,offline,404,http://melani.admin.ch/
12484,5.196.91.129,http://5.196.91.129/~siagha52/-/ch/,2018-01-03 08:57:17,Apple,offline,404,http://melani.admin.ch/
12483,www.thechairtailor.co.uk,http://www.thechairtailor.co.uk/sites/all/themes/drs/css/,2018-01-03 08:57:04,Apple,offline,404,http://melani.admin.ch/
12482,ni1408542-2.web03.nitrado.hosting,http://ni1408542-2.web03.nitrado.hosting/khalifamya/videos/,2018-01-03 08:56:01,UBS,offline,404,http://melani.admin.ch/
12481,ni1408542-4.web15.nitrado.hosting,http://ni1408542-4.web15.nitrado.hosting/15/,2018-01-03 08:55:45,UBS,offline,404,http://melani.admin.ch/
12479,www.whatsapp.com.areospolis.gr,http://www.whatsapp.com.areospolis.gr/.+/2/,2018-01-03 08:54:41,Visa,online,302,http://melani.admin.ch/
12476,www.bankers-ch.e-mengine.com,http://www.bankers-ch.e-mengine.com/index/login/,2018-01-02 18:37:15,Swiss Bankers,offline,404,http://melani.admin.ch/
12475,mailterrabr.weebly.com,http://mailterrabr.weebly.com/</td,2018-01-02 14:03:47,Swisscom,offline,404,http://melani.admin.ch/
12474,intra.asgb.org,https://intra.asgb.org/frontend/uploads/faq/x41c1405d089561.08786962/thn/Connexion.htm,2018-01-02 07:55:59,PayPal,offline,500,http://melani.admin.ch/
12473,sevroomgood.com,http://sevroomgood.com/doc/dfh56df5h4d64f5h4dfhf1h65df6hdfhdf/ids/type/4861651687992816/dir/,2018-01-02 07:55:09,Visa,offline,302,http://melani.admin.ch/
12472,www.alitkane.co.com,http://www.alitkane.co.com/wp-content/themes/alitkane/plugins/js_composer/js_composer/assets/css/lib/typicons/,2018-01-01 20:01:06,Apple,offline,404,http://melani.admin.ch/
12471,dictionary-containing-articles.darktech.org,http://dictionary-containing-articles.darktech.org/pay/Secure/Secure-signLimithl.management/launchreason-launch/,2018-01-01 20:00:51,PayPal,dnserror,0,http://melani.admin.ch/
12470,automatquement-whenever.suroot.com,http://automatquement-whenever.suroot.com/existantes/effectuer/automatically/signLimithl.statement/launchreason/,2018-01-01 20:00:39,Apple,dnserror,0,http://melani.admin.ch/
12469,www.swisse-bankers.e-mengine.com,http://www.swisse-bankers.e-mengine.com/index/login/,2017-12-31 08:33:02,Swiss Bankers,offline,404,http://melani.admin.ch/
12468,user56723.vs.speednames.com,http://user56723.vs.speednames.com/index/1.html,2017-12-31 08:32:55,Swiss Bankers,offline,500,http://melani.admin.ch/
12467,www.whatsapp.areospolis.gr,http://www.whatsapp.areospolis.gr/.+/2/,2017-12-31 08:32:44,Visa,online,302,http://melani.admin.ch/
12466,automatiquement-depending.deaftone.com,http://automatiquement-depending.deaftone.com/existantes/effectuer/automatically/signLimithl.statement/launchreason/,2017-12-31 08:31:11,Apple,dnserror,0,http://melani.admin.ch/
12461,solomonlex.com,http://solomonlex.com/c56c78d92254e4a5445c5d7190df40cd/,2017-12-30 08:26:48,UBS,online,302,http://melani.admin.ch/
12460,www.creditsuisse.burbridgestreetbandb.com,http://www.creditsuisse.burbridgestreetbandb.com/.x/1/,2017-12-30 08:26:36,Credit Suisse,offline,403,http://melani.admin.ch/
12459,ikc7zol5z.areospolis.gr,http://ikc7zol5z.areospolis.gr/,2017-12-30 08:25:54,Credit Suisse,online,302,http://melani.admin.ch/
12458,www.support.kuringgenerate8435helpingus.com,http://www.support.kuringgenerate8435helpingus.com/myaccount/,2017-12-30 08:24:09,PayPal,dnserror,0,http://melani.admin.ch/
12457,c5y0wwcc8.areospolis.gr,http://c5y0wwcc8.areospolis.gr/,2017-12-29 08:25:30,Credit Suisse,online,302,http://melani.admin.ch/
12456,www.creditsuisse.canada-travel.ca,http://www.creditsuisse.canada-travel.ca/maps/1/,2017-12-29 08:25:01,Credit Suisse,offline,404,http://melani.admin.ch/
12455,6obpq75nx.areospolis.gr,http://6obpq75nx.areospolis.gr/,2017-12-29 08:24:36,Credit Suisse,online,302,http://melani.admin.ch/
12454,lojavirtual.aresdabocaina.com.br,http://lojavirtual.aresdabocaina.com.br/verifizieren/,2017-12-29 08:23:39,UBS,offline,403,http://melani.admin.ch/
12453,www.gbocontabilidade.com.br,https://www.gbocontabilidade.com.br/-/--/---/loading/case-id31/V4/,2017-12-28 14:44:28,PayPal,offline,404,http://melani.admin.ch/
12452,zkusebni.breziny.cz,http://zkusebni.breziny.cz/wp-includes/js/red.html,2017-12-28 14:44:10,PayPal,offline,404,http://melani.admin.ch/
12451,staryweb-lachim.vlcata.eu,http://staryweb-lachim.vlcata.eu/loga/red.html,2017-12-28 14:44:03,PayPal,offline,404,http://melani.admin.ch/
12449,www.animazionebadini.it,http://www.animazionebadini.it/--/,2017-12-28 14:33:05,amfeli.fr,online,200,http://melani.admin.ch/
12448,www.kltm.com.my,https://www.kltm.com.my/administrator/help/en-GB/client-connect/manager-settings/Xls-tds/,2017-12-28 11:35:42,Apple,offline,404,http://melani.admin.ch/
12447,www.smartcorewealth.co.uk,http://www.smartcorewealth.co.uk/wp-content/upgrade/manager.php,2017-12-28 11:35:38,Apple,offline,403,http://melani.admin.ch/
12446,budiekofin.com,http://budiekofin.com/fb04364e2f0efc5576452d11286d4ad0/,2017-12-28 11:27:04,UBS,offline,404,http://melani.admin.ch/
12445,myubs.info,https://myubs.info,2017-12-28 11:17:15,UBS,dnserror,0,http://melani.admin.ch/
12444,2460kiest.be,http://2460kiest.be/249a5e5bce157b0010d0387e2203b45f/,2017-12-28 11:17:05,UBS,offline,404,http://melani.admin.ch/
12443,uhr-ubs.net,https://uhr-ubs.net/,2017-12-28 08:52:48,UBS,offline,500,http://melani.admin.ch/
12442,crawi02mm.areospolis.gr,http://crawi02mm.areospolis.gr/,2017-12-28 08:14:24,Credit Suisse,online,302,http://melani.admin.ch/
12441,ihr-ubs.net,https://ihr-ubs.net/,2017-12-28 07:42:34,UBS,dnserror,0,http://melani.admin.ch/
12440,totalbodyfocuspt.com,http://totalbodyfocuspt.com/9d910dbbc59a6024ce84949e2659f3ef/,2017-12-28 07:42:30,UBS,offline,404,http://melani.admin.ch/
12439,ihr-schutz.net,https://ihr-schutz.net/,2017-12-28 07:42:18,UBS,dnserror,0,http://melani.admin.ch/
12438,www.ledled.co.il,https://www.ledled.co.il/errors/default/css/Pfinance/de/,2017-12-27 20:47:24,PostFinance,offline,404,http://melani.admin.ch/
12437,www.glassiri.ro,http://www.glassiri.ro/errors/default/css/Pfinance/de/,2017-12-27 17:01:44,PostFinance,online,200,http://melani.admin.ch/
12436,leoncarhiggins.com,http://leoncarhiggins.com/SP/post/,2017-12-27 16:44:22,Schweizerische Post,dnserror,0,http://melani.admin.ch/
12435,asmaiskele.com,http://asmaiskele.com/92fb4d6888743a2cfd8578b5d08756f7,2017-12-27 10:14:04,UBS,online,301,http://melani.admin.ch/
12434,www.estudioboix.com.uy,https://www.estudioboix.com.uy/wp-service/Netfix/Net-International/,2017-12-27 07:33:17,Netflix,offline,404,http://melani.admin.ch/
12433,pixelstation3.webserversystems.com,https://pixelstation3.webserversystems.com/~citizens/main/components/com_content/models/forms/-/-/,2017-12-27 07:33:00,Landesbank Berlin,offline,401,http://melani.admin.ch/
12432,baooji.com,http://baooji.com/wp-content/themes/twentyseventeen/template-parts/post/-/,2017-12-27 07:32:52,Landesbank Berlin,offline,404,http://melani.admin.ch/
