subnet_address;subnet_mask;subnet_last;subnet_gw;subnet_desc;subnet_domain;subnet_org;subnet_area;subnet_vlan;subnet_vdp;subnet_zone;subnet_color;subnet_sec;subnet_poll;subnet_alarm;subnet_report;date_added;date_seen;date_checked
010.162.048.008;255.255.255.252;010.162.048.011;undef;Schaffhausen Callcenter Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:42
010.162.048.012;255.255.255.252;010.162.048.015;undef;Schaffhausen Callcenter Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:42
010.162.048.016;255.255.255.240;010.162.048.031;undef;Schaffhausen Callcenter Transit-IPSS;zh.post.ch;RSP-Zuerich;postnet;0900;post.ch;undef;gray;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2015-11-11 17:29:50
010.162.048.192;255.255.255.240;010.162.048.207;010.162.048.206;Schaffhausen Callcenter Zuko;zh.post.ch;RSP-Zuerich;postnet;0646;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:43
010.162.048.224;255.255.255.224;010.162.048.255;010.162.048.254;Schaffhausen Callcenter Netz;zh.post.ch;RSP-Zuerich;postnet;0690;post.ch;undef;blue;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:43
010.162.049.000;255.255.255.0;010.162.049.255;010.162.049.254;Schaffhausen Callcenter Client;zh.post.ch;RSP-Zuerich;postnet;0600;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:45
010.162.050.000;255.255.255.0;010.162.050.255;010.162.050.254;Schaffhausen Callcenter IT_DHCP_2_IP_Telefonie;zh.post.ch;RSP-Zuerich;postnet;0681;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:47
010.162.052.000;255.255.255.252;010.162.052.003;undef;Kaltbrunn Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:16:51
010.162.052.008;255.255.255.252;010.162.052.011;undef;Kaltbrunn Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;---;1;0;0;2018-01-19 01:30:02;2019-02-08 01:40:12;2019-02-07 16:16:51
010.162.052.016;255.255.255.240;010.162.052.031;undef;Kaltbrunn Transit-Sunrise;zh.post.ch;RSP-Zuerich;postnet;0900;post.ch;undef;gray;undef;0;0;0;2018-03-21 01:30:03;2019-02-08 01:40:12;0000-00-00 00:00:00
