Liste;No;unknown;Act;Domain;;;;;
BcPostWhitelist;1551799341;unknown;Add;demo.teledata.ch;hc.atadelet.omed;;;;
BcNoSSLIntercept;1551799341;unknown;Add;demo.teledata.ch;hc.atadelet.omed;;;;
BcAuthWhitelist;1551799275;unknown;Add;www.teledata.ch;hc.atadelet.www;;;;
BcPostWhitelist;1551799275;unknown;Add;www.teledata.ch;hc.atadelet.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.teledata.ch;hc.atadelet.www;;;;
BcAuthWhitelist;1551799341;unknown;Add;www.teledata.ch;hc.atadelet.www;;;;
BcPostWhitelist;1551799341;unknown;Add;www.teledata.ch;hc.atadelet.www;;;;
BcNoSSLIntercept;1551799341;unknown;Add;www.teledata.ch;hc.atadelet.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;axa.ch;hc.axa;;;;
BcAuthWhitelist;1551799275;unknown;Add;secure.acc.axa.ch;hc.axa.cca.eruces;;;;
BcNoSSLIntercept;1551799275;unknown;Add;secure.acc.axa.ch;hc.axa.cca.eruces;;;;
BcAuthWhitelist2;1551799275;unknown;Add;secure.acc.axa.ch;hc.axa.cca.eruces;;;;
BcPostWhitelist;1551799275;unknown;Add;pf.shark2.rolotec.ch;hc.cetolor.2krahs.fp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pf.shark2.rolotec.ch;hc.cetolor.2krahs.fp;;;;
BcPostWhitelist;1551799275;unknown;Add;ipf.shark2.rolotec.ch;hc.cetolor.2krahs.fpi;;;;
BcAuthWhitelist2;1551799275;unknown;Add;ipf.shark2.rolotec.ch;hc.cetolor.2krahs.fpi;;;;
BcPostWhitelist;1551799275;unknown;Add;finance-ws.shark2.rolotec.ch;hc.cetolor.2krahs.sw-ecnanif;;;;
BcAuthWhitelist2;1551799275;unknown;Add;finance-ws.shark2.rolotec.ch;hc.cetolor.2krahs.sw-ecnanif;;;;
BcPostWhitelist;1551799341;unknown;Add;finance-ws.shark2.rolotec.ch;hc.cetolor.2krahs.sw-ecnanif;;;;
BcNoSSLIntercept;1551799341;unknown;Add;finance-ws.shark2.rolotec.ch;hc.cetolor.2krahs.sw-ecnanif;;;;
BcPostWhitelist;1551799275;unknown;Add;ifinance-ws.shark2.rolotec.ch;hc.cetolor.2krahs.sw-ecnanifi;;;;
BcAuthWhitelist2;1551799275;unknown;Add;ifinance-ws.shark2.rolotec.ch;hc.cetolor.2krahs.sw-ecnanifi;;;;
BcPostWhitelist;1551799341;unknown;Add;ifinance-ws.shark2.rolotec.ch;hc.cetolor.2krahs.sw-ecnanifi;;;;
BcNoSSLIntercept;1551799341;unknown;Add;ifinance-ws.shark2.rolotec.ch;hc.cetolor.2krahs.sw-ecnanifi;;;;
BcPostWhitelist;1551799275;unknown;Add;pf.inet.rolotec.ch;hc.cetolor.teni.fp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pf.inet.rolotec.ch;hc.cetolor.teni.fp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;service-on-demand.ch;hc.dnamed-no-ecivres;;;;
BcNoSSLIntercept;1551799341;unknown;Add;post.starmind.ch;hc.dnimrats.tsop;;;;
BcAuthWhitelist2;1551799275;unknown;Add;stepcloud.ch;hc.duolcpets;;;;
BcAuthWhitelist;1551799341;unknown;Add;aopcv.vd.ch;hc.dv.vcpoa;;;;
BcPostWhitelist;1551799341;unknown;Add;aopcv.vd.ch;hc.dv.vcpoa;;;;
BcNoSSLIntercept;1551799341;unknown;Add;aopcv.vd.ch;hc.dv.vcpoa;;;;
BcAuthWhitelist;1551799341;unknown;Add;valid-aopcv.vd.ch;hc.dv.vcpoa-dilav;;;;
BcPostWhitelist;1551799341;unknown;Add;valid-aopcv.vd.ch;hc.dv.vcpoa-dilav;;;;
BcNoSSLIntercept;1551799341;unknown;Add;valid-aopcv.vd.ch;hc.dv.vcpoa-dilav;;;;
BcPostWhitelist;1551799275;unknown;Add;epsipay.police.be.ch;hc.eb.ecilop.yapispe;;;;
BcAuthWhitelist2;1551799275;unknown;Add;epsipay.police.be.ch;hc.eb.ecilop.yapispe;;;;
BcAuthWhitelist2;1551799275;unknown;Add;postfinance.ch;hc.ecnaniftsop;;;;
