date,time,duration,in_bytes,out_bytes
2018-02-15,04:04:00,99515.2,30227372,1136733
2018-02-15,04:05:00,49705.9,77068474,1657198
2018-02-15,04:06:00,55487.5,68120281,1902734
2018-02-15,04:07:00,45960.9,78144144,2830629
2018-02-15,04:08:00,70070.6,49900809,1273395
2018-02-15,04:09:00,93952.9,55563372,1164161
2018-02-15,04:10:00,58463.1,65889117,1385740
2018-02-15,04:11:00,118287,46549611,894225
2018-02-15,04:12:00,27069.3,58716482,1707205
2018-02-15,04:13:00,44053.9,59540008,1584089
2018-02-15,04:14:00,29766.1,64305752,1871997
2018-02-15,04:15:00,57924.7,75150162,1828705
2018-02-15,04:16:00,70328.1,87759682,1444297
2018-02-15,04:17:00,33051.4,53328577,1806004
2018-02-15,04:18:00,70562.7,1330299711,2699577
2018-02-15,04:19:00,71334.7,73313773,2153950
2018-02-15,04:20:00,35637.9,81652752,2073877
2018-02-15,04:21:00,268768,55106123,1586603
2018-02-15,04:22:00,103477,44583104,1658614
2018-02-15,04:23:00,107724,47042740,972188
2018-02-15,04:24:00,55500.2,52134727,1124575
2018-02-15,04:25:00,37005.6,50868869,1558537
2018-02-15,04:26:00,41644.1,45466051,1101842
2018-02-15,04:27:00,37563.2,16573715,1525052
2018-02-15,04:28:00,77274,68559362,1168539
2018-02-15,04:29:00,74159.5,90056215,1699168
2018-02-15,04:30:00,74756.8,120303619,1428917
2018-02-15,04:31:00,62224.8,100622120,1061008
2018-02-15,04:32:00,104480,19277263,1312507
2018-02-15,04:33:00,53362.5,109192215,1653415
2018-02-15,04:34:00,45865.9,76563479,1972403
2018-02-15,04:35:00,36469.2,34441312,2172418
2018-02-15,04:36:00,107353,59626969,1547987
2018-02-15,04:37:00,97533.6,52601703,1552805
2018-02-15,04:38:00,75377.3,80937107,2206807
2018-02-15,04:39:00,111765,69037604,1639333
2018-02-15,04:40:00,52550.9,68080835,2242293
2018-02-15,04:41:00,54893.2,79947256,2378315
2018-02-15,04:42:00,65595.5,67983592,1853697
2018-02-15,04:43:00,40489.2,83687672,2803514
2018-02-15,04:44:00,26511.3,157312341,3835240
2018-02-15,04:45:00,37079.2,174344092,2161385
2018-02-15,04:46:00,56780.9,142868688,2714677
2018-02-15,04:47:00,27412,149488246,3936325
2018-02-15,04:48:00,48349.6,90489445,3337291
2018-02-15,04:49:00,58422.2,54278719,2975191
2018-02-15,04:50:00,76265.3,65654917,2745157
2018-02-15,04:51:00,43152.8,88971869,3024710
2018-02-15,04:52:00,21842,130819072,3659684
2018-02-15,04:53:00,27708.6,160876269,4102054
2018-02-15,04:54:00,23675.4,88671569,4105682
2018-02-15,04:55:00,37750.3,89217736,3777400
2018-02-15,04:56:00,48121.9,116673370,2570530
2018-02-15,04:57:00,46029.2,106675810,3308850
2018-02-15,04:58:00,29960.8,134192868,2776412
2018-02-15,04:59:00,40384.2,138882016,5316264
2018-02-15,05:00:00,32128.6,74225774,3850041
2018-02-15,05:01:00,30659.6,100105548,4161894
2018-02-15,05:02:00,29984.5,103438779,4833125
2018-02-15,05:03:00,35568.6,107468435,3176436
2018-02-15,05:04:00,39504.5,105492350,4239583
2018-02-15,05:05:00,34530.1,115461831,4426320
2018-02-15,05:06:00,41612.1,111921852,3331956
2018-02-15,05:07:00,48619.9,112826863,4494097
2018-02-15,05:08:00,14137.1,170445333,7095352
2018-02-15,05:09:00,32526.7,181602339,4616571
2018-02-15,05:10:00,26998,238969842,5030222
2018-02-15,05:11:00,43322.2,198498779,4586947
2018-02-15,05:12:00,44203.9,231747476,3202248
2018-02-15,05:13:00,32606.5,185073765,3691446
2018-02-15,05:14:00,66964.4,241396798,5871707
2018-02-15,05:15:00,33567.7,259883621,3962233
2018-02-15,05:16:00,30680.3,224326715,4813644
2018-02-15,05:17:00,27531.3,262604691,3721615
2018-02-15,05:18:00,39731.2,400705411,5243605
2018-02-15,05:19:00,36246.4,263369613,3490081
2018-02-15,05:20:00,43847,313153495,8961703
2018-02-15,05:21:00,31119.9,308811767,3872617
2018-02-15,05:22:00,39106.7,264972333,4601220
2018-02-15,05:23:00,21791.9,310785173,6273895
2018-02-15,05:24:00,17300.4,352852914,6525139
2018-02-15,05:25:00,30734.4,316659622,5262909
2018-02-15,05:26:00,52125.2,390361741,6176066
2018-02-15,05:27:00,13666.1,417715288,7456815
2018-02-15,05:28:00,18775.1,466465451,7251973
2018-02-15,05:29:00,25807.4,417891259,4366264
2018-02-15,05:30:00,22778.3,382480361,6608834
2018-02-15,05:31:00,21669.9,679597197,5928728
2018-02-15,05:32:00,22542.9,405559094,6150983
2018-02-15,05:33:00,19213.3,476540817,6428942
2018-02-15,05:34:00,61535.9,388179871,9274607
2018-02-15,05:35:00,12354.8,454874588,6324747
2018-02-15,05:36:00,13783.5,534109335,7366634
2018-02-15,05:37:00,34304.7,500893118,5391089
2018-02-15,05:38:00,19575.3,444050888,6180391
2018-02-15,05:39:00,43065.7,474447523,5598165
2018-02-15,05:40:00,19975.4,403732613,6152294
2018-02-15,05:41:00,28246.3,645481967,6348644
2018-02-15,05:42:00,22046.6,379927729,6080871
2018-02-15,05:43:00,28895.7,445412866,6727989
2018-02-15,05:44:00,33727.8,383467515,6303259
2018-02-15,05:45:00,14736.8,381257308,5866239
